Canton,provincia,Cantidad
24 de mayo,manabi,4396
aguarico,orellana,366
alausi,chimborazo,15226
alfredo baquerizo moreno,guayas,17923
ambato,tungurahua,541499
antonio ante,imbabura,44693
arajuno,pastaza,3659
archidona,napo,15064
arenillas,el oro,25122
atacames,esmeraldas,49518
atahualpa,el oro,3668
azogues,canar,69503
baba,los rios,17112
babahoyo,los rios,199377
balao,guayas,12530
balsas,el oro,6800
balzar,guayas,39799
banos de agua santa,tungurahua,37194
biblian,canar,12549
bolivar,carchi,8846
bolivar,manabi,17890
buena fe,los rios,68210
caluma,bolivar,18329
calvas,loja,15526
camilo ponce enriquez,azuay,15900
canar,canar,21372
carlos julio arosemena tola,napo,1742
cascales,sucumbios,9124
catamayo,loja,37456
cayambe,pichincha,65918
celica,loja,9085
centinela del condor,zamora chinchipe,4613
cevallos,tungurahua,8511
chaguarpamba,loja,2771
chambo,chimborazo,6632
chilla,el oro,1112
chillanes,bolivar,9461
chimbo,bolivar,9608
chinchipe,zamora chinchipe,5309
chone,manabi,55809
chordeleg,azuay,4762
chunchi,chimborazo,7288
colimes,guayas,7006
colta,chimborazo,10427
cotacachi,imbabura,22757
crnel. marcelino mariduena,guayas,7722
cuenca,azuay,767251
cumanda,chimborazo,10063
cuyabeno,sucumbios,5025
daule,guayas,130182
deleg,canar,4907
duran,guayas,253151
echeandia,bolivar,16628
el carmen,manabi,39416
el chaco,napo,5750
el guabo,el oro,48116
el pan,azuay,1104
el pangui,zamora chinchipe,10989
el tambo,canar,5021
el triunfo,guayas,37781
eloy alfaro,esmeraldas,13160
empalme,guayas,47732
esmeraldas,esmeraldas,214106
espejo,carchi,9519
espindola,loja,5263
flavio alfaro,manabi,6455
giron,azuay,9778
gnral. antonio elizalde,guayas,8325
gonzalo pizarro,sucumbios,10603
gonzanama,loja,5456
guachapala,azuay,1312
gualaceo,azuay,30569
gualaquiza,morona santiago,17447
guamote,chimborazo,11540
guano,chimborazo,27767
guaranda,bolivar,89621
guayaquil,guayas,2804850
huamboya,morona santiago,10810
huaquillas,el oro,57055
ibarra,imbabura,385671
isabela,galapagos,4901
isidro ayora,guayas,7335
jama,manabi,4329
jaramijo,manabi,15033
jipijapa,manabi,32408
junin,manabi,6069
la concordia,santo domingo de los tsachilas,53492
la joya de los sachas,orellana,26734
la libertad,santa elena,80324
la mana,cotopaxi,36084
la troncal,canar,51942
lago agrio,sucumbios,152249
las lajas,el oro,1584
las naves,bolivar,9622
latacunga,cotopaxi,199977
limon indanza,morona santiago,7328
logrodo,morona santiago,3663
logrono,morona santiago,370
loja,loja,321570
lomas de sargentillo,guayas,12262
loreto,orellana,12106
macara,loja,13272
machala,el oro,365036
manta,manabi,213260
marcabeli,el oro,4624
mejia,pichincha,151090
mera,pastaza,16183
milagro,guayas,163744
mira,carchi,7642
mocache,los rios,21982
mocha,tungurahua,5781
montalvo,los rios,24643
montecristi,manabi,41372
montufar,carchi,24977
morona,morona santiago,100153
muisne,esmeraldas,14897
nabon,azuay,6313
nangaritza,zamora chinchipe,3065
naranjal,guayas,66831
naranjito,guayas,31414
nobol,guayas,20324
olmedo,loja,1651
olmedo,manabi,2205
ona,azuay,2350
orellana,orellana,125878
otavalo,imbabura,93709
pablo sexto,morona santiago,2918
pajan,manabi,9834
palanda,zamora chinchipe,4813
palenque,los rios,6495
palestina,guayas,7724
pallatanga,chimborazo,7990
palora,morona santiago,10285
paltas,loja,8713
pangua,cotopaxi,6910
paquisha,zamora chinchipe,3839
pasaje,el oro,86127
pastaza,pastaza,104918
patate,tungurahua,8799
paute,azuay,17841
pedernales,manabi,34141
pedro carbo,guayas,32974
pedro moncayo,pichincha,25825
pedro vicente maldonado,pichincha,6938
penipe,chimborazo,4300
pichincha,manabi,4928
pimampiro,imbabura,11901
pinas,el oro,19367
pindal,loja,3665
playas,guayas,50726
portovelo,el oro,13522
portoviejo,manabi,246553
pucara,azuay,3293
puebloviejo,los rios,33363
puerto lopez,manabi,7434
puerto quito,pichincha,8471
pujili,cotopaxi,32109
putumayo,sucumbios,9507
puyango,loja,8052
quero,tungurahua,8947
quevedo,los rios,211168
quijos,napo,8157
quilanga,loja,3267
quininde,esmeraldas,57297
quinsaloma,los rios,9887
quito,pichincha,3545586
riobamba,chimborazo,363654
rioverde,esmeraldas,10298
rocafuerte,manabi,16769
ruminahui,pichincha,189673
salcedo,cotopaxi,45778
salinas,santa elena,68918
salitre,guayas,17339
samborondon,guayas,84328
san cristobal,galapagos,22159
san fernando,azuay,985
san jacinto de yaguachi,guayas,53560
san juan bosco,morona santiago,1577
san lorenzo,esmeraldas,23429
san miguel,bolivar,20466
san miguel de los bancos,pichincha,10420
san miguel de urcuqui,imbabura,12099
san pedro de huaca,carchi,7015
san pedro de pelileo,tungurahua,41184
san vicente,manabi,13144
santa ana,manabi,9757
santa clara,pastaza,2607
santa cruz,galapagos,22721
santa elena,santa elena,90924
santa isabel,azuay,14256
santa lucia,guayas,14800
santa rosa,el oro,82536
santiago,morona santiago,8273
santiago de pillaro,tungurahua,26733
santo domingo,santo domingo de los tsachilas,506685
saquisili,cotopaxi,15916
saraguro,loja,10868
sevilla de oro,azuay,1048
sevilla don bosco,morona santiago,1892
shushufindi,sucumbios,40376
sigchos,cotopaxi,6263
sigsig,azuay,10722
simon bolivar,guayas,12252
sozoranga,loja,1264
sucre,manabi,27388
sucua,morona santiago,23917
sucumbios,sucumbios,631
suscal,canar,2210
taisha,morona santiago,5387
tena,napo,61962
tisaleo,tungurahua,9278
tiwintza,morona santiago,2811
tosagua,manabi,16142
tulcan,carchi,137908
urdaneta,los rios,20300
valencia,los rios,26376
ventanas,los rios,68604
vinces,los rios,43993
yacuambi,zamora chinchipe,2097
yantzaza,zamora chinchipe,16868
zamora,zamora chinchipe,25656
zapotillo,loja,5895
zaruma,el oro,14034
