Año_Mes,provincia,Cantidad
2021-07,azuay,32578
2021-07,bolivar,7614
2021-07,canar,6682
2021-07,carchi,7288
2021-07,chimborazo,17318
2021-07,cotopaxi,12264
2021-07,el oro,30458
2021-07,esmeraldas,17346
2021-07,galapagos,1796
2021-07,guayas,157834
2021-07,imbabura,22412
2021-07,loja,16848
2021-07,los rios,32480
2021-07,manabi,31826
2021-07,morona santiago,7054
2021-07,napo,3108
2021-07,orellana,6954
2021-07,pastaza,4928
2021-07,pichincha,144254
2021-07,santa elena,9266
2021-07,santo domingo de los tsachilas,21818
2021-07,sucumbios,7912
2021-07,tungurahua,26088
2021-07,zamora chinchipe,2686
2021-08,azuay,32504
2021-08,bolivar,7686
2021-08,canar,6496
2021-08,carchi,6878
2021-08,chimborazo,17144
2021-08,cotopaxi,11602
2021-08,el oro,32088
2021-08,esmeraldas,18910
2021-08,galapagos,1812
2021-08,guayas,163510
2021-08,imbabura,22722
2021-08,loja,17578
2021-08,los rios,33736
2021-08,manabi,32946
2021-08,morona santiago,6852
2021-08,napo,3504
2021-08,orellana,6398
2021-08,pastaza,5346
2021-08,pichincha,142688
2021-08,santa elena,10196
2021-08,santo domingo de los tsachilas,22114
2021-08,sucumbios,7844
2021-08,tungurahua,26600
2021-08,zamora chinchipe,2612
2021-09,azuay,31264
2021-09,bolivar,7602
2021-09,canar,5938
2021-09,carchi,7098
2021-09,chimborazo,17352
2021-09,cotopaxi,11796
2021-09,el oro,28946
2021-09,esmeraldas,17784
2021-09,galapagos,1706
2021-09,guayas,155556
2021-09,imbabura,21230
2021-09,loja,16472
2021-09,los rios,31656
2021-09,manabi,31382
2021-09,morona santiago,6800
2021-09,napo,3240
2021-09,orellana,6070
2021-09,pastaza,4712
2021-09,pichincha,142656
2021-09,santa elena,8720
2021-09,santo domingo de los tsachilas,20468
2021-09,sucumbios,7974
2021-09,tungurahua,25910
2021-09,zamora chinchipe,2846
2021-10,azuay,34922
2021-10,bolivar,7370
2021-10,canar,7188
2021-10,carchi,7674
2021-10,chimborazo,18820
2021-10,cotopaxi,12526
2021-10,el oro,29732
2021-10,esmeraldas,19090
2021-10,galapagos,1822
2021-10,guayas,162080
2021-10,imbabura,21542
2021-10,loja,18352
2021-10,los rios,33150
2021-10,manabi,32568
2021-10,morona santiago,7256
2021-10,napo,3780
2021-10,orellana,6534
2021-10,pastaza,5062
2021-10,pichincha,155294
2021-10,santa elena,9644
2021-10,santo domingo de los tsachilas,21610
2021-10,sucumbios,8108
2021-10,tungurahua,28238
2021-10,zamora chinchipe,3082
2021-11,azuay,32562
2021-11,bolivar,7044
2021-11,canar,6608
2021-11,carchi,6838
2021-11,chimborazo,17160
2021-11,cotopaxi,11834
2021-11,el oro,27848
2021-11,esmeraldas,19226
2021-11,galapagos,1822
2021-11,guayas,144262
2021-11,imbabura,19904
2021-11,loja,17470
2021-11,los rios,29904
2021-11,manabi,30020
2021-11,morona santiago,6896
2021-11,napo,3290
2021-11,orellana,5994
2021-11,pastaza,4490
2021-11,pichincha,140026
