Parroquia,provincia,Cantidad
"guayaquil, cabecera cantonal y capital provincial",guayas,2764524
"quito distrito metropolitano, cabecera cantonal, *",pichincha,2714407
"cuenca, cabecera cantonal y capital provincial.",azuay,632432
"santo domingo de los colorados, cabecera cantonal*",santo domingo de los tsachilas,467259
"ambato, cabecera cantonal y capital provincial",tungurahua,421445
"machala, cabecera cantonal y capital provincial",el oro,359471
"san miguel de ibarra, cabecera cantonal y capital*",imbabura,339234
"riobamba, cabecera cantonal y capital provincial",chimborazo,330086
"loja, cabecera cantonal y capital provincial",loja,298279
"eloy alfaro (duran), cabecera cantonal",guayas,253151
calderon (carapungo),pichincha,232474
"portoviejo, cabecera cantonal y capital provincial",manabi,221698
"manta, cabecera cantonal",manabi,211147
"esmeraldas, cabecera cantonal y capital provincial",esmeraldas,193279
"quevedo, cabecera cantonal",los rios,191075
"sangolqui, cabecera cantonal",pichincha,183348
"babahoyo, cabecera cantonal y capital provincial",los rios,163748
"milagro, cabecera cantonal",guayas,151011
"latacunga, cabecera cantonal y capital provincial",cotopaxi,148972
"nueva loja, cabecera cantonal y capital provincial",sucumbios,131238
"tulcan, cabecera cantonal y capital provincial",carchi,114466
conocoto,pichincha,109776
"daule, cabecera cantonal",guayas,109112
"puerto francisco de orellana (el coca),cabecera c*",orellana,104475
"puyo, cabecera cantonal y capital provincial",pastaza,83863
"la libertad, cabecera cantonal",santa elena,80324
"macas, cabecera cantonal y capital provincial",morona santiago,78067
tumbaco,pichincha,74851
"santa rosa, cabecera cantonal",el oro,70960
"samborondon, cabecera cantonal",guayas,70522
"otavalo, cabecera cantonal",imbabura,69615
"pasaje, cabecera cantonal",el oro,68737
"guaranda, cabecera cantonal y capital provincial",bolivar,66496
"machachi, cabecera cantonal",pichincha,58429
"huaquillas, cabecera cantonal",el oro,57055
"san jacinto de buena fe, cabecera cantonal",los rios,57045
"ventanas, cabecera cantonal",los rios,54064
"azogues, cabecera cantonal y capital provincial",canar,53909
"tena, cabecera cantonal y capital provincial",napo,53006
cumbaya,pichincha,50781
"santa elena, cabecera cantonal y capital provinci*",santa elena,50735
"general villamil (playas), cabecera cantonal",guayas,50726
"cayambe, cabecera cantonal",pichincha,48051
"chone, cabecera cantonal",manabi,47174
"la troncal, cabecera cantonal",canar,46316
"naranjal, cabecera cantonal",guayas,46077
san antonio,pichincha,45832
"salinas, cabecera cantonal",santa elena,45397
la concordia,santo domingo de los tsachilas,44601
"vinces, cabecera cantonal",los rios,41150
"velasco ibarra (el empalme), cabecera cantonal",guayas,40922
"montecristi, cabecera cantonal",manabi,40268
"balzar, cabecera cantonal",guayas,39799
"el triunfo, cabecera cantonal",guayas,37781
pomasqui,pichincha,36984
"rosa zarate (quininde), cabecera cantonal",esmeraldas,36649
"el carmen, cabecera cantonal",manabi,35869
"la mana, cabecera cantonal",cotopaxi,34189
"san miguel, cabecera cantonal",cotopaxi,33927
"catamayo (la toma), cabecera cantonal",loja,32361
amaguana,pichincha,31870
"naranjito, cabecera cantonal",guayas,31414
"shushufindi, cabecera cantonal",sucumbios,31121
alangasi,pichincha,30833
"banos de agua santa, cabecera cantonal",tungurahua,30650
